candidate_name,molecule_chembl_id,activity_id,target_chembl_id,target_pref_name,target_organism,assay_chembl_id,document_chembl_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,data_validity_comment,potential_duplicate,matched_network_proteins,target_evidence_class
nilotinib,CHEMBL255863,2122566,CHEMBL1906,RAF proto-oncogene serine/threonine-protein kinase,Homo sapiens,CHEMBL951323,CHEMBL1143922,IC50,=,1100,nM,5.96,,FALSE,,other_target
nilotinib,CHEMBL255863,2150097,CHEMBL5251,Tyrosine-protein kinase BTK,Homo sapiens,CHEMBL924611,CHEMBL1147060,Activity,,,,,,FALSE,,other_target
nilotinib,CHEMBL255863,2654020,CHEMBL3879801,NON-PROTEIN TARGET,,CHEMBL1032716,CHEMBL1158470,Activity,,,,,,FALSE,,other_target
nilotinib,CHEMBL255863,2654021,CHEMBL3879801,NON-PROTEIN TARGET,,CHEMBL1032718,CHEMBL1158470,Activity,,,,,,FALSE,,other_target
nilotinib,CHEMBL255863,2692389,CHEMBL261,Carbonic anhydrase 1,Homo sapiens,CHEMBL1053951,CHEMBL1152378,Ki,=,29.3,nM,7.53,,FALSE,,other_target
nilotinib,CHEMBL255863,2692390,CHEMBL205,Carbonic anhydrase 2,Homo sapiens,CHEMBL1053952,CHEMBL1152378,Ki,=,4.1,nM,8.39,,FALSE,,other_target
nilotinib,CHEMBL255863,2692391,CHEMBL2885,Carbonic anhydrase 3,Homo sapiens,CHEMBL1053953,CHEMBL1152378,Ki,=,443,nM,6.35,,FALSE,,other_target
nilotinib,CHEMBL255863,2692392,CHEMBL3729,Carbonic anhydrase 4,Homo sapiens,CHEMBL1053954,CHEMBL1152378,Ki,=,446,nM,6.35,,FALSE,,other_target
nilotinib,CHEMBL255863,2692393,CHEMBL4789,"Carbonic anhydrase 5A, mitochondrial",Homo sapiens,CHEMBL1053955,CHEMBL1152378,Ki,=,5485,nM,5.26,,FALSE,,other_target
nilotinib,CHEMBL255863,2692394,CHEMBL3969,"Carbonic anhydrase 5B, mitochondrial",Homo sapiens,CHEMBL1053956,CHEMBL1152378,Ki,=,14920,nM,4.83,,FALSE,,other_target
nilotinib,CHEMBL255863,2692395,CHEMBL3025,Carbonic anhydrase 6,Homo sapiens,CHEMBL1053957,CHEMBL1152378,Ki,=,461,nM,6.34,,FALSE,,other_target
nilotinib,CHEMBL255863,2692396,CHEMBL2326,Carbonic anhydrase 7,Homo sapiens,CHEMBL1053958,CHEMBL1152378,Ki,=,99,nM,7,,FALSE,,other_target
nilotinib,CHEMBL255863,2692397,CHEMBL3594,Carbonic anhydrase 9,Homo sapiens,CHEMBL1053959,CHEMBL1152378,Ki,=,41.9,nM,7.38,,FALSE,,other_target
nilotinib,CHEMBL255863,2692398,CHEMBL3242,Carbonic anhydrase 12,Homo sapiens,CHEMBL1059702,CHEMBL1152378,Ki,=,302,nM,6.52,,FALSE,,other_target
nilotinib,CHEMBL255863,2692399,CHEMBL2186,Carbonic anhydrase 13,Mus musculus,CHEMBL1059703,CHEMBL1152378,Ki,=,4665,nM,5.33,,FALSE,,other_target
nilotinib,CHEMBL255863,2692400,CHEMBL3510,Carbonic anhydrase 14,Homo sapiens,CHEMBL1059704,CHEMBL1152378,Ki,=,223,nM,6.65,,FALSE,,other_target
nilotinib,CHEMBL255863,2692401,CHEMBL5973,Carbonic anhydrase 15,Mus musculus,CHEMBL1059705,CHEMBL1152378,Ki,=,79,nM,7.1,,FALSE,,other_target
nilotinib,CHEMBL255863,3186247,CHEMBL612545,Unchecked,,CHEMBL1110554,CHEMBL1155389,IC50,=,25,nM,7.6,,FALSE,,other_target
nilotinib,CHEMBL255863,3186251,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,CHEMBL1110556,CHEMBL1155389,IC50,=,38,nM,7.42,,FALSE,,other_target
nilotinib,CHEMBL255863,3186272,CHEMBL1936,Mast/stem cell growth factor receptor Kit,Homo sapiens,CHEMBL1110555,CHEMBL1155389,IC50,=,158,nM,6.8,,FALSE,,other_target
nilotinib,CHEMBL255863,3471370,CHEMBL2096618,Bcr/Abl fusion protein,Homo sapiens,CHEMBL1251496,CHEMBL1250538,IC50,=,42,nM,7.38,,FALSE,,other_target
nilotinib,CHEMBL255863,3471371,CHEMBL2096618,Bcr/Abl fusion protein,Homo sapiens,CHEMBL1251495,CHEMBL1250538,IC50,=,20,nM,7.7,,FALSE,,other_target
nilotinib,CHEMBL255863,3471372,CHEMBL2007,Platelet-derived growth factor receptor alpha,Homo sapiens,CHEMBL1251493,CHEMBL1250538,IC50,=,71,nM,7.15,,FALSE,,other_target
nilotinib,CHEMBL255863,3471373,CHEMBL1913,Platelet-derived growth factor receptor beta,Homo sapiens,CHEMBL1251492,CHEMBL1250538,IC50,=,71,nM,7.15,,FALSE,,other_target
nilotinib,CHEMBL255863,3471374,CHEMBL1936,Mast/stem cell growth factor receptor Kit,Homo sapiens,CHEMBL1251494,CHEMBL1250538,IC50,=,217,nM,6.66,,FALSE,,other_target
nilotinib,CHEMBL255863,3471375,CHEMBL5319,Epithelial discoidin domain-containing receptor 1,Homo sapiens,CHEMBL1251491,CHEMBL1250538,IC50,=,3.7,nM,8.43,,FALSE,,other_target
nilotinib,CHEMBL255863,3471376,CHEMBL5122,Discoidin domain-containing receptor 2,Homo sapiens,CHEMBL1251490,CHEMBL1250538,IC50,=,5.2,nM,8.28,,FALSE,,other_target
nilotinib,CHEMBL255863,3471377,CHEMBL1844,Macrophage colony-stimulating factor 1 receptor,Homo sapiens,CHEMBL1251497,CHEMBL1250538,IC50,=,677,nM,6.17,,FALSE,,other_target
nilotinib,CHEMBL255863,3471378,CHEMBL385,K562,Homo sapiens,CHEMBL1251498,CHEMBL1250538,IC50,=,21,nM,7.68,,FALSE,,other_target
nilotinib,CHEMBL255863,3471379,CHEMBL3879801,NON-PROTEIN TARGET,,CHEMBL1251499,CHEMBL1250538,IC50,=,25,nM,7.6,,FALSE,,other_target
nilotinib,CHEMBL255863,3471380,CHEMBL3879801,NON-PROTEIN TARGET,,CHEMBL1251500,CHEMBL1250538,IC50,=,62,nM,7.21,,FALSE,,other_target
nilotinib,CHEMBL255863,3471381,CHEMBL3879801,NON-PROTEIN TARGET,,CHEMBL1251501,CHEMBL1250538,IC50,=,151,nM,6.82,,FALSE,,other_target
nilotinib,CHEMBL255863,3471382,CHEMBL3879801,NON-PROTEIN TARGET,,CHEMBL1251502,CHEMBL1250538,IC50,=,838,nM,6.08,,FALSE,,other_target
nilotinib,CHEMBL255863,3471383,CHEMBL3879801,NON-PROTEIN TARGET,,CHEMBL1251503,CHEMBL1250538,IC50,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,6159339,CHEMBL2096618,Bcr/Abl fusion protein,Homo sapiens,CHEMBL1763239,CHEMBL1759982,IC50,=,39.3,nM,7.41,,FALSE,,other_target
nilotinib,CHEMBL255863,6159354,CHEMBL385,K562,Homo sapiens,CHEMBL1763240,CHEMBL1759982,IC50,=,6.5,nM,8.19,,FALSE,,other_target
nilotinib,CHEMBL255863,6159369,CHEMBL3879801,NON-PROTEIN TARGET,,CHEMBL1763241,CHEMBL1759982,IC50,=,3.4,nM,8.47,,FALSE,,other_target
nilotinib,CHEMBL255863,6159384,CHEMBL385,K562,Homo sapiens,CHEMBL1763242,CHEMBL1759982,IC50,=,260,nM,6.58,,FALSE,,other_target
nilotinib,CHEMBL255863,7594444,CHEMBL4224,Dual specificity protein kinase CLK1,Homo sapiens,CHEMBL1908461,CHEMBL1908390,Kd,=,2100,nM,5.68,,FALSE,,other_target
nilotinib,CHEMBL255863,7594445,CHEMBL5608,NT-3 growth factor receptor,Homo sapiens,CHEMBL1908462,CHEMBL1908390,Kd,=,600,nM,6.22,,FALSE,,other_target
nilotinib,CHEMBL255863,7594446,CHEMBL4674,Mitogen-activated protein kinase 12,Homo sapiens,CHEMBL1908463,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594447,CHEMBL5331,Tyrosine-protein kinase Mer,Homo sapiens,CHEMBL1908464,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594448,CHEMBL5668,SRSF protein kinase 2,Homo sapiens,CHEMBL1908465,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594449,CHEMBL3935,Aurora kinase C,Homo sapiens,CHEMBL1908466,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594450,CHEMBL2801,Calcium/calmodulin-dependent protein kinase type II subunit delta,Homo sapiens,CHEMBL1908467,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594451,CHEMBL5404,Serine/threonine-protein kinase tousled-like 2,Homo sapiens,CHEMBL1908468,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594452,CHEMBL2185,Aurora kinase B,Homo sapiens,CHEMBL1908469,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594453,CHEMBL4045,5'-AMP-activated protein kinase catalytic subunit alpha-1,Homo sapiens,CHEMBL1908470,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594454,CHEMBL6149,Serine/threonine-protein kinase SIK3,Homo sapiens,CHEMBL1908471,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594455,CHEMBL3938,Serine/threonine-protein kinase 16,Homo sapiens,CHEMBL1908472,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594456,CHEMBL5790,Cyclin-dependent kinase 17,Homo sapiens,CHEMBL1908473,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594457,CHEMBL5122,Discoidin domain-containing receptor 2,Homo sapiens,CHEMBL1908474,CHEMBL1908390,Kd,=,33,nM,7.48,,FALSE,,other_target
nilotinib,CHEMBL255863,7594458,CHEMBL5311,Activin receptor type-1-like,Homo sapiens,CHEMBL1908475,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594459,CHEMBL5251,Tyrosine-protein kinase BTK,Homo sapiens,CHEMBL1908476,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594460,CHEMBL331,Cyclin-dependent kinase 4,Homo sapiens,CHEMBL1908477,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594461,CHEMBL331,Cyclin-dependent kinase 4,Homo sapiens,CHEMBL1908478,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594462,CHEMBL2742,Fibroblast growth factor receptor 3,Homo sapiens,CHEMBL1908479,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594463,CHEMBL2742,Fibroblast growth factor receptor 3,Homo sapiens,CHEMBL1908480,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594464,CHEMBL1981,Insulin receptor,Homo sapiens,CHEMBL1908481,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594465,CHEMBL2148,Tyrosine-protein kinase JAK3,Homo sapiens,CHEMBL1908482,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594466,CHEMBL1936,Mast/stem cell growth factor receptor Kit,Homo sapiens,CHEMBL1908483,CHEMBL1908390,Kd,=,29,nM,7.54,,FALSE,,other_target
nilotinib,CHEMBL255863,7594467,CHEMBL1936,Mast/stem cell growth factor receptor Kit,Homo sapiens,CHEMBL1908484,CHEMBL1908390,Kd,=,46,nM,7.34,,FALSE,,other_target
nilotinib,CHEMBL255863,7594468,CHEMBL1936,Mast/stem cell growth factor receptor Kit,Homo sapiens,CHEMBL1908485,CHEMBL1908390,Kd,=,540,nM,6.27,,FALSE,,other_target
nilotinib,CHEMBL255863,7594469,CHEMBL1936,Mast/stem cell growth factor receptor Kit,Homo sapiens,CHEMBL1908486,CHEMBL1908390,Kd,=,770,nM,6.11,,FALSE,,other_target
nilotinib,CHEMBL255863,7594470,CHEMBL1936,Mast/stem cell growth factor receptor Kit,Homo sapiens,CHEMBL1908487,CHEMBL1908390,Kd,=,22,nM,7.66,,FALSE,,other_target
nilotinib,CHEMBL255863,7594471,CHEMBL1936,Mast/stem cell growth factor receptor Kit,Homo sapiens,CHEMBL1908488,CHEMBL1908390,Kd,=,46,nM,7.34,,FALSE,,other_target
nilotinib,CHEMBL255863,7594472,CHEMBL1936,Mast/stem cell growth factor receptor Kit,Homo sapiens,CHEMBL1908489,CHEMBL1908390,Kd,=,150,nM,6.82,,FALSE,,other_target
nilotinib,CHEMBL255863,7594473,CHEMBL1936,Mast/stem cell growth factor receptor Kit,Homo sapiens,CHEMBL1908490,CHEMBL1908390,Kd,=,260,nM,6.58,,FALSE,,other_target
nilotinib,CHEMBL255863,7594474,CHEMBL3717,Hepatocyte growth factor receptor,Homo sapiens,CHEMBL1908491,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594475,CHEMBL3717,Hepatocyte growth factor receptor,Homo sapiens,CHEMBL1908492,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594476,CHEMBL3717,Hepatocyte growth factor receptor,Homo sapiens,CHEMBL1908493,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594477,CHEMBL2349,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform",Homo sapiens,CHEMBL1908494,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594478,CHEMBL5606,Serine/threonine-protein kinase STK11,Homo sapiens,CHEMBL1908495,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594479,CHEMBL4128,Angiopoietin-1 receptor,Homo sapiens,CHEMBL1908496,CHEMBL1908390,Kd,=,1000,nM,6,,FALSE,,other_target
nilotinib,CHEMBL255863,7594480,CHEMBL1957,Insulin-like growth factor 1 receptor,Homo sapiens,CHEMBL1908497,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594481,CHEMBL1163127,Mitogen-activated protein kinase kinase kinase 15,Homo sapiens,CHEMBL1908498,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594482,CHEMBL5407,Serine/threonine-protein kinase pim-3,Homo sapiens,CHEMBL1908499,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594483,CHEMBL2527,Serine/threonine-protein kinase Chk2,Homo sapiens,CHEMBL1908500,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594484,CHEMBL1824,Receptor tyrosine-protein kinase erbB-2,Homo sapiens,CHEMBL1908501,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594485,CHEMBL3906,Ribosomal protein S6 kinase alpha-2,Homo sapiens,CHEMBL1908502,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594486,CHEMBL3125,Ribosomal protein S6 kinase alpha-4,Homo sapiens,CHEMBL1908503,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594487,CHEMBL4599,Activated CDC42 kinase 1,Homo sapiens,CHEMBL1908504,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594488,CHEMBL2815,High affinity nerve growth factor receptor,Homo sapiens,CHEMBL1908505,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594489,CHEMBL5426,Myosin light chain kinase family member 4,Homo sapiens,CHEMBL1908506,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594490,CHEMBL5358,eIF-2-alpha kinase GCN2,Homo sapiens,CHEMBL1908507,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594491,CHEMBL4482,Serine/threonine-protein kinase PAK 4,Homo sapiens,CHEMBL1908508,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594492,CHEMBL1163129,Serine/threonine-protein kinase SBK1,Homo sapiens,CHEMBL1908509,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594493,CHEMBL5518,Misshapen-like kinase 1,Homo sapiens,CHEMBL1908510,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594494,CHEMBL5519,Serine/threonine-protein kinase DCLK2,Homo sapiens,CHEMBL1908511,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594495,CHEMBL3009,Receptor tyrosine-protein kinase erbB-4,Homo sapiens,CHEMBL1908512,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594496,CHEMBL5749,Mitogen-activated protein kinase kinase kinase kinase 1,Homo sapiens,CHEMBL1908513,CHEMBL1908390,Kd,=,890,nM,6.05,,FALSE,,other_target
nilotinib,CHEMBL255863,7594497,CHEMBL4526,Ephrin type-A receptor 6,Homo sapiens,CHEMBL1908445,CHEMBL1908390,Kd,=,640,nM,6.19,,FALSE,,other_target
nilotinib,CHEMBL255863,7594498,CHEMBL5654,Myosin-IIIb,Homo sapiens,CHEMBL1908514,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594499,CHEMBL5047,Serine/threonine-protein kinase ULK3,Homo sapiens,CHEMBL1908515,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594500,CHEMBL5903,Activin receptor type-1,Homo sapiens,CHEMBL1908516,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594501,CHEMBL5466,Activin receptor type-2B,Homo sapiens,CHEMBL1908517,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594502,CHEMBL6150,Serine/threonine-protein kinase 32A,Homo sapiens,CHEMBL1908518,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594503,CHEMBL1163117,Cyclin-dependent kinase-like 3,Homo sapiens,CHEMBL1908519,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594504,CHEMBL4718,MAP kinase-interacting serine/threonine-protein kinase 1,Homo sapiens,CHEMBL1908520,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594505,CHEMBL5969,Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha,Homo sapiens,CHEMBL1908521,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594506,CHEMBL5476,Bone morphogenetic protein receptor type-1B,Homo sapiens,CHEMBL1908522,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594507,CHEMBL5467,Bone morphogenetic protein receptor type-2,Homo sapiens,CHEMBL1908523,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594508,CHEMBL4121,Calcium/calmodulin-dependent protein kinase type II subunit beta,Homo sapiens,CHEMBL1908524,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594509,CHEMBL4442,Cyclin-dependent kinase 3,Homo sapiens,CHEMBL1908525,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594510,CHEMBL5719,Cyclin-dependent kinase 8,Homo sapiens,CHEMBL1908526,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594511,CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,CHEMBL1908527,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594512,CHEMBL4630,Serine/threonine-protein kinase Chk1,Homo sapiens,CHEMBL1908528,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594513,CHEMBL3476,Inhibitor of nuclear factor kappa-B kinase subunit alpha,Homo sapiens,CHEMBL1908529,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594514,CHEMBL2543,Casein kinase I isoform gamma-2,Homo sapiens,CHEMBL1908530,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594515,CHEMBL2468,Death-associated protein kinase 3,Homo sapiens,CHEMBL1908531,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594516,CHEMBL1163101,Serine/threonine-protein kinase/endoribonuclease IRE1,Homo sapiens,CHEMBL1908532,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594517,CHEMBL1991,Inhibitor of nuclear factor kappa-B kinase subunit beta,Homo sapiens,CHEMBL1908533,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594518,CHEMBL3357,Interleukin-1 receptor-associated kinase 1,Homo sapiens,CHEMBL1908534,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594519,CHEMBL5616,Activin receptor type-2A,Homo sapiens,CHEMBL1908535,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594520,CHEMBL2431,RAC-beta serine/threonine-protein kinase,Homo sapiens,CHEMBL1908536,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594521,CHEMBL4895,Tyrosine-protein kinase receptor UFO,Homo sapiens,CHEMBL1908537,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594522,CHEMBL2250,Tyrosine-protein kinase Blk,Homo sapiens,CHEMBL1908538,CHEMBL1908390,Kd,=,500,nM,6.3,,FALSE,,other_target
nilotinib,CHEMBL255863,7594523,CHEMBL3834,Cytoplasmic tyrosine-protein kinase BMX,Homo sapiens,CHEMBL1908539,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594524,CHEMBL2494,Calcium/calmodulin-dependent protein kinase type IV,Homo sapiens,CHEMBL1908540,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594525,CHEMBL301,Cyclin-dependent kinase 2,Homo sapiens,CHEMBL1908541,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594526,CHEMBL3055,Cyclin-dependent kinase 7,Homo sapiens,CHEMBL1908542,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594527,CHEMBL2793,Casein kinase I isoform alpha,Homo sapiens,CHEMBL1908543,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594528,CHEMBL4937,Casein kinase I isoform epsilon,Homo sapiens,CHEMBL1908544,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594529,CHEMBL3629,Casein kinase II subunit alpha,Homo sapiens,CHEMBL1908545,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594530,CHEMBL4070,Casein kinase II subunit alpha',Homo sapiens,CHEMBL1908546,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594531,CHEMBL5319,Epithelial discoidin domain-containing receptor 1,Homo sapiens,CHEMBL1908547,CHEMBL1908390,Kd,=,1.1,nM,8.96,,FALSE,,other_target
nilotinib,CHEMBL255863,7594532,CHEMBL5838,Receptor tyrosine-protein kinase erbB-3,Homo sapiens,CHEMBL1908548,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594533,CHEMBL5455,Tyrosine-protein kinase Fes/Fps,Homo sapiens,CHEMBL1908549,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594534,CHEMBL1868,Vascular endothelial growth factor receptor 1,Homo sapiens,CHEMBL1908550,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594535,CHEMBL1955,Vascular endothelial growth factor receptor 3,Homo sapiens,CHEMBL1908551,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594536,CHEMBL4223,Tyrosine-protein kinase FRK,Homo sapiens,CHEMBL1908552,CHEMBL1908390,Kd,=,86,nM,7.07,,FALSE,,other_target
nilotinib,CHEMBL255863,7594537,CHEMBL262,Glycogen synthase kinase-3 beta,Homo sapiens,CHEMBL1908553,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594538,CHEMBL3234,Tyrosine-protein kinase HCK,Homo sapiens,CHEMBL1908554,CHEMBL1908390,Kd,=,390,nM,6.41,,FALSE,,other_target
nilotinib,CHEMBL255863,7594539,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,CHEMBL1908555,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594540,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,CHEMBL1908556,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594541,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,CHEMBL1908557,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594542,CHEMBL3836,LIM domain kinase 1,Homo sapiens,CHEMBL1908558,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594543,CHEMBL3905,Tyrosine-protein kinase Lyn,Homo sapiens,CHEMBL1908559,CHEMBL1908390,Kd,=,100,nM,7,,FALSE,,other_target
nilotinib,CHEMBL255863,7594544,CHEMBL5600,MAP/microtubule affinity-regulating kinase 3,Homo sapiens,CHEMBL1908560,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594545,CHEMBL4175,Megakaryocyte-associated tyrosine-protein kinase,Homo sapiens,CHEMBL1908561,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594546,CHEMBL5970,Mitogen-activated protein kinase kinase kinase 3,Homo sapiens,CHEMBL1908562,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
nilotinib,CHEMBL255863,7594547,CHEMBL2708,Mitogen-activated protein kinase kinase kinase 11,Homo sapiens,CHEMBL1908563,CHEMBL1908390,Kd,>,10000,nM,,,FALSE,,other_target
