queried_protein,queried_target_chembl_id,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,action_type.action_type,action_type.description,action_type.parent_type,ligand_efficiency.bei,ligand_efficiency.le,ligand_efficiency.lle,ligand_efficiency.sei
RPS3,CHEMBL6066939,NA,26299653,,CHEMBL5698520,Inhibition of RPS3 (unknown origin) assessed as fold change at 0.4 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,B,NA,NA,BAO_0000179,BAO_0000357,single protein format,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,NA,NA,CHEMBL5696440,Nature,2011,NA,CHEMBL1232461,MOLIBRESIB,CHEMBL1232461,NA,0,NA,4139758,=,72,0,=,NA,FC,NA,NA,0.507,CHEMBL6066939,Homo sapiens,Small ribosomal subunit protein uS3,9606,NA,NA,FC,NA,NA,NA,0.507,INHIBITOR,"Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway",NEGATIVE MODULATOR,NA,NA,NA,NA
RPS3,CHEMBL6066939,NA,26300353,,CHEMBL5699220,Inhibition of RPS3 (unknown origin) assessed as fold change at 0.08 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,B,NA,NA,BAO_0000179,BAO_0000357,single protein format,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,NA,NA,CHEMBL5696440,Nature,2011,NA,CHEMBL1232461,MOLIBRESIB,CHEMBL1232461,NA,0,NA,4139758,=,72,0,=,NA,FC,NA,NA,0.618,CHEMBL6066939,Homo sapiens,Small ribosomal subunit protein uS3,9606,NA,NA,FC,NA,NA,NA,0.618,INHIBITOR,"Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway",NEGATIVE MODULATOR,NA,NA,NA,NA
RPS3,CHEMBL6066939,NA,26301053,,CHEMBL5699920,Inhibition of RPS3 (unknown origin) assessed as fold change at 0.016 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,B,NA,NA,BAO_0000179,BAO_0000357,single protein format,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,NA,NA,CHEMBL5696440,Nature,2011,NA,CHEMBL1232461,MOLIBRESIB,CHEMBL1232461,NA,0,NA,4139758,=,72,0,=,NA,FC,NA,NA,0.858,CHEMBL6066939,Homo sapiens,Small ribosomal subunit protein uS3,9606,NA,NA,FC,NA,NA,NA,0.858,INHIBITOR,"Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway",NEGATIVE MODULATOR,NA,NA,NA,NA
RPS3,CHEMBL6066939,NA,26301753,,CHEMBL5700620,Inhibition of RPS3 (unknown origin) incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,B,NA,NA,BAO_0000190,BAO_0000357,single protein format,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,NA,NA,CHEMBL5696440,Nature,2011,NA,CHEMBL1232461,MOLIBRESIB,CHEMBL1232461,NA,0,http://www.openphacts.org/units/Nanomolar,4139758,>=,72,1,>=,NA,IC50,nM,NA,240.0,CHEMBL6066939,Homo sapiens,Small ribosomal subunit protein uS3,9606,NA,NA,IC50,uM,UO_0000065,NA,0.24,NA,NA,NA,NA,NA,NA,NA
RPL4,CHEMBL6066910,NA,26221772,,CHEMBL5652312,Binding affinity to human RPL4 incubated for 45 mins by Kinobead based pull down assay,B,NA,NA,BAO_0000034,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,NA,NA,CHEMBL5649169,ChemMedChem,2018,NA,CHEMBL5653589,NA,CHEMBL5653589,4.60,0,http://www.openphacts.org/units/Nanomolar,4136306,=,72,1,=,NA,Kd,nM,NA,24906.3,CHEMBL6066910,Homo sapiens,Large ribosomal subunit protein uL4,9606,NA,NA,Kd(app),nM,UO_0000065,NA,24906.3,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,9.14,0.17,-1.15,4.72
RPL4,CHEMBL6066910,NA,26221773,,CHEMBL5652312,Binding affinity to human RPL4 incubated for 45 mins by Kinobead based pull down assay,B,NA,NA,BAO_0003036,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,NA,NA,CHEMBL5649169,ChemMedChem,2018,NA,CHEMBL5653589,NA,CHEMBL5653589,4.60,0,http://www.openphacts.org/units/Nanomolar,4136306,=,72,0,=,NA,ED50,nM,NA,24906.3,CHEMBL6066910,Homo sapiens,Large ribosomal subunit protein uL4,9606,NA,NA,ED50,nM,UO_0000065,NA,24906.3,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,NA,NA,NA,NA
RPL4,CHEMBL6066910,NA,26221774,,CHEMBL5652312,Binding affinity to human RPL4 incubated for 45 mins by Kinobead based pull down assay,B,NA,NA,BAO_0000034,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,NA,NA,CHEMBL5649169,ChemMedChem,2018,NA,CHEMBL3752910,NA,CHEMBL3752910,5.33,0,http://www.openphacts.org/units/Nanomolar,4136305,=,72,1,=,NA,Kd,nM,NA,4728.58,CHEMBL6066910,Homo sapiens,Large ribosomal subunit protein uL4,9606,NA,NA,Kd(app),nM,UO_0000065,NA,4728.576,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,10.58,0.20,-0.42,5.46
RPL4,CHEMBL6066910,NA,26221775,,CHEMBL5652312,Binding affinity to human RPL4 incubated for 45 mins by Kinobead based pull down assay,B,NA,NA,BAO_0003036,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,NA,NA,CHEMBL5649169,ChemMedChem,2018,NA,CHEMBL3752910,NA,CHEMBL3752910,5.33,0,http://www.openphacts.org/units/Nanomolar,4136305,=,72,0,=,NA,ED50,nM,NA,4728.58,CHEMBL6066910,Homo sapiens,Large ribosomal subunit protein uL4,9606,NA,NA,ED50,nM,UO_0000065,NA,4728.576,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,NA,NA,NA,NA
EEF1G,CHEMBL4295735,NA,18276089,,CHEMBL4119049,Binding affinity to EEF1G in human NCI-H358 cells at 1 uM by mass spectrometry based pull down assay,B,NA,NA,BAO_0000375,BAO_0000219,cell-based format,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl,NA,NA,CHEMBL4118021,Bioorg Med Chem,2017,NA,CHEMBL4129274,NA,CHEMBL4129274,NA,0,NA,3033240,NA,1,0,NA,Active,Activity,NA,NA,NA,CHEMBL4295735,Homo sapiens,Elongation factor 1-gamma,9606,Active,NA,Activity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEF1G,CHEMBL4295735,NA,18783010,,CHEMBL4270830,Binding affinity to elongation factor 1-gamma in human Hela cells lysates assessed as protein enrichment by measuring normalized heavy/light ratio at by nano-LC-ESIMS/MS analysis,B,NA,NA,BAO_0000193,BAO_0000219,cell-based format,C/C=C(\C)C(=O)O[C@H]1[C@H](O)[C@]2(COC(C)=O)[C@@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,NA,NA,CHEMBL4270485,J Nat Prod,2017,NA,CHEMBL4294164,NA,CHEMBL4294164,NA,0,NA,3121021,=,1,0,=,NA,Ratio,NA,NA,0.536,CHEMBL4295735,Homo sapiens,Elongation factor 1-gamma,9606,NA,NA,Ratio,NA,NA,NA,0.536,NA,NA,NA,NA,NA,NA,NA
